route_key_hash,route_key,source,account_code,provider,model,egress_id,epoch,created_at,updated_at
TOKEN-VFK53KIDTVFHUI5CVRHOMI3CHU,previous_response_id:TOKEN-MNFGM524DNPEEI7H3S7FJF3IGE,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413322,1785413322
TOKEN-TFHG7AEOGVD47I5X2H37RQJYVA,previous_response_id:TOKEN-D3BCTD47WAGAHGZC7FBRQHTMZE,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413332,1785413332
TOKEN-FFEPULW3GXVZIYOM2LI3TTGAH4,previous_response_id:TOKEN-TUPS76JMA5RM234JZHRXTFMSNM,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413342,1785413342
TOKEN-PZBQZIRVVP4I6XIWZYJXM35ONA,previous_response_id:TOKEN-X7T2SWTH4PQCUYLQEYVYXOK6EI,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413395,1785413395
TOKEN-JZEUJGBEWJJDAEMNYOYRRCM2Y4,previous_response_id:TOKEN-6YH6SI4GVQPNAGA2ERCBW6AAAE,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413415,1785413415
TOKEN-67JJYVULH2IP2IGDK2HZRQPV2E,previous_response_id:TOKEN-26QWBGTYIJDH7IF67DFAG7UPTA,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413431,1785413431
TOKEN-DEGSA2U5ZHGCM735SZ7W3FWRP4,previous_response_id:TOKEN-AQ5Z5QISV3VB5KB2QVQ4KIUCZI,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413434,1785413434
TOKEN-PLMKIZNERDG7MHL4ZDI6XGZ7JQ,previous_response_id:TOKEN-C44HPLDEC4WA3G4UQJMX74TVDI,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413450,1785413450
TOKEN-CFKK7DLO7BNF7ZC6VTJ7PGRLSM,previous_response_id:TOKEN-YE3GTDJQYFJYW6AAPKKRYFFA6A,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413466,1785413466
TOKEN-P576PI4DOOMP4I5NLPPO4YWWWA,previous_response_id:TOKEN-GJCQDPFABFMCJATYRH2MLQUHS4,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413484,1785413484
TOKEN-TYZDIZMMB73YZUPO6262ANQHUQ,previous_response_id:TOKEN-5IZP3EA63XEBMOAZVRHENJ6N7U,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413501,1785413501
TOKEN-VKC2D2JPBWIFIWAQQTHFY2NO2M,previous_response_id:TOKEN-IX5Q7GCC2G7XEZA67ZXQ6YUY3U,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413519,1785413519
TOKEN-ZNW326IFP2R7GRFGAE73FY65K4,previous_response_id:TOKEN-PG63QDZUYCPTXUIMO3QLT6DUTI,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413537,1785413537
TOKEN-G65QRCP3FGDP3BIW4SE6SFDJZU,previous_response_id:TOKEN-7OVCCQ6IAX3A2CH7YM62DX3VQY,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413554,1785413554
TOKEN-TAJSPW4X4LNL4YNYM37R5LUZIE,previous_response_id:TOKEN-GGNIAV5D6UPZEXWMT23LER6WPY,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413558,1785413558
TOKEN-A2WBLI54ZF7HRWX5PHFTSQ547U,previous_response_id:TOKEN-HHAQ7QJ2B6YRHUH756IWTJO4AE,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413576,1785413576
TOKEN-D3ZHRLQJOESKURDRJ6D7RMGHBE,previous_response_id:TOKEN-KAUVUR36PSWADU2PDWLN2S2LZQ,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413587,1785413587
TOKEN-4GD6PIHOKXZP7WO3FQGTGHQUPU,previous_response_id:TOKEN-HCRSP24O76G25ESW26NOZKMN5U,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413593,1785413593
TOKEN-USZPO25Q4L6CBOM43ADPOZGJGE,previous_response_id:TOKEN-SX5V4U3ZGCVF2S5CFZB3UOHZXM,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413610,1785413610
TOKEN-X7XLILAEKWIKJABZU56VCEALDY,previous_response_id:TOKEN-IJ7CCWHU47OTED3NMGIIAUOPCU,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413633,1785413633
TOKEN-JHBPDWZPS6VU23RLGT24CAFGOE,previous_response_id:TOKEN-ZYE3EXTHKPGO72ZD5KIEO3ZDHU,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413699,1785413699
TOKEN-MGCFMVLNRV4H67EMNHC56NRAG4,previous_response_id:TOKEN-AZNE4RPAZ6KKXCX5AVTBUMFM7I,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413701,1785413701
